Nicki Minaj,BED (feat. Ariana Grande),Bed (feat. Ariana Grande),14 Aug 2018 12:46
Ariana Grande,God is a Woman,God is a woman,14 Aug 2018 12:42
Nicki Minaj,The Pinkprint,Get on Your Knees,14 Aug 2018 11:52
Nicki Minaj,Queen,Chun Swae (feat. Swae Lee),14 Aug 2018 11:45
Charli XCX,Number 1 Angel,Emotional,14 Aug 2018 11:42
Charli XCX,Number 1 Angel,Roll with Me,14 Aug 2018 11:39
Charli XCX,Number 1 Angel,Blame It on U,14 Aug 2018 11:35
Charli XCX,Girls Night Out,Girls Night Out,14 Aug 2018 11:31
Charli XCX,Focus / No Angel,No Angel,14 Aug 2018 11:28
Nicki Minaj,Queen,Good Form,14 Aug 2018 11:25
Emile Haynie,We Fall,Wait For Life,14 Aug 2018 11:21
Marina & the Diamonds,FROOT,Blue,14 Aug 2018 10:58
Zayn,Entertainer,Entertainer,14 Aug 2018 10:54
Charli XCX,SUCKER,Famous,14 Aug 2018 10:51
Lykke Li,so sad so sexy,jaguars in the air,14 Aug 2018 10:51
Charli XCX,SUCKER,Famous,13 Aug 2018 21:16
Ariana Grande,Dangerous Woman,Greedy,13 Aug 2018 21:12
Billie Eilish,dont smile at me,hostage,13 Aug 2018 21:08
Dua Lipa,Dua Lipa (Deluxe),Homesick,13 Aug 2018 21:04
Lana Del Rey,Lust for Life,Get Free,13 Aug 2018 20:59
Lorde,Melodrama,Writer in the Dark,13 Aug 2018 20:55
Marina & the Diamonds,The Family Jewels,Numb,13 Aug 2018 20:51
Lana Del Rey,Ultraviolence (Deluxe),Old Money,13 Aug 2018 20:46
Lana Del Rey,Honeymoon,The Blackest Day,13 Aug 2018 20:40
Lorde,Melodrama,Liability,13 Aug 2018 20:37
Lana Del Rey,Ultraviolence (Deluxe),Pretty When You Cry,13 Aug 2018 20:33
Lana Del Rey,Lust for Life,13 Beaches,13 Aug 2018 20:28
Lykke Li,so sad so sexy,so sad so sexy,13 Aug 2018 20:25
Nicki Minaj,The Pinkprint (Deluxe Edition),I Lied,13 Aug 2018 20:20
Marina & the Diamonds,FROOT,Happy,13 Aug 2018 20:15
Marina & the Diamonds,The Family Jewels,Obsessions,13 Aug 2018 20:11
Fleetwood Mac,Fleetwood Mac,Landslide,13 Aug 2018 19:04
Fleetwood Mac,Tango in the Night (Deluxe),Everywhere - 2017 Remastered,13 Aug 2018 19:01
Fleetwood Mac,Rumours (Super Deluxe),Dreams - 2004 Remastered Edition,13 Aug 2018 18:56
Fleetwood Mac,Rumours (Super Deluxe),The Chain - 2004 Remastered Edition,13 Aug 2018 18:56
Fleetwood Mac,Rumours (Super Deluxe),Dreams - 2004 Remastered Edition,13 Aug 2018 18:52
Lana Del Rey,Lust for Life,White Mustang,13 Aug 2018 18:52
Lana Del Rey,Lust for Life,White Mustang,13 Aug 2018 18:47
Lana Del Rey,Lust for Life,Summer Bummer (feat. A$AP Rocky & Playboi Carti),13 Aug 2018 18:46
Lana Del Rey,Lust for Life,Summer Bummer (feat. A$AP Rocky & Playboi Carti),13 Aug 2018 18:42
Lana Del Rey,Lust for Life,White Mustang,13 Aug 2018 18:39
Lana Del Rey,Ultraviolence (Deluxe),Guns and Roses,13 Aug 2018 18:34
Shawn Mendes,Shawn Mendes,Lost in Japan,13 Aug 2018 18:34
Shawn Mendes,Shawn Mendes,Lost in Japan,13 Aug 2018 17:06
Ariana Grande,My Everything (Deluxe),Just a Little Bit of Your Heart,13 Aug 2018 17:02
Ariana Grande,God is a Woman,God is a woman,13 Aug 2018 16:58
Lykke Li,so sad so sexy,hard rain,13 Aug 2018 16:49
Lykke Li,so sad so sexy,utopia,13 Aug 2018 16:45
Lykke Li,so sad so sexy,better alone,13 Aug 2018 16:41
Lykke Li,so sad so sexy,last piece,13 Aug 2018 16:38
Lykke Li,so sad so sexy,two nights,13 Aug 2018 16:34
Lykke Li,so sad so sexy,sex money feelings die,13 Aug 2018 16:32
Lykke Li,so sad so sexy,so sad so sexy,13 Aug 2018 16:28
Lykke Li,Wounded Rhymes,I Follow Rivers,13 Aug 2018 16:23
Lana Del Rey,Honeymoon,High by the Beach,13 Aug 2018 16:19
Nicki Minaj,Queen,Chun Swae (feat. Swae Lee),13 Aug 2018 16:08
Nicki Minaj,Queen,Barbie Dreams,13 Aug 2018 16:01
Elvis Presley,Elvis' Golden Records,Hound Dog,13 Aug 2018 16:01
Elvis Presley,Elvis' Golden Records,Hound Dog,13 Aug 2018 15:56
Elvis Presley,Elvis' Golden Records,Jailhouse Rock,13 Aug 2018 15:54
Elvis Presley,Where no one stands alone,Crying in the Chapel,13 Aug 2018 15:51
Elvis Presley,Where no one stands alone,Saved,13 Aug 2018 15:48
Frank Ocean,channel ORANGE (Explicit Version),Super Rich Kids,13 Aug 2018 15:40
Frank Ocean,Blonde,Ivy,13 Aug 2018 15:40
Frank Ocean,Blonde,Ivy,13 Aug 2018 15:36
Frank Ocean,Blonde,Pink + White,13 Aug 2018 15:33
Frank Ocean,Blonde,Nights,13 Aug 2018 15:27
Nicki Minaj,Queen,Chun Swae (feat. Swae Lee),13 Aug 2018 10:01
Nicki Minaj,Queen,Good Form,13 Aug 2018 09:59
Nicki Minaj,Queen,Good Form,13 Aug 2018 09:54
Bülow,Damaged Vol. 1,Like This Guy,13 Aug 2018 08:34
Billie Eilish,dont smile at me,ocean eyes,13 Aug 2018 08:30
